Scrip Code,Company,LTP,Change Val,Pts Contribution
500280,CENTENKA,454.05,-4.65,-0.13
513605,SRIPIPES,222.15,-3.2,-0.13
513349,AJMERA,307.95,-9.8,-0.13
540642,SALASAR,340.2,-11.3,-0.13
526612,BLUEDART,5797.7,-14.05,-0.14
506655,SUDARSCHEM,750.7,-2.45,-0.14
532178,ENGINERSIN,77.5,-0.3,-0.14
505726,IFBIND,1033.4,-8,-0.14
524669,HESTERBIO,2490.25,-21.3,-0.14
500109,MRPL,47.75,-0.45,-0.14
543212,BOROLTD,223.4,-2.65,-0.14
506022,PRAKASH,77.65,-0.95,-0.14
533047,IMFA,630.15,-7.75,-0.14
500184,HSCL,54.45,-0.75,-0.14
530073,SANGHVIMOV,204.4,-3.9,-0.14
520066,JAYBARMARU,219.65,-7.95,-0.14
532729,UTTAMSUGAR,214.75,-9.1,-0.14
515043,SAINTGOBAIN,69.35,-3.65,-0.14
542907,PRINCEPIPE,711.6,-3.1,-0.15
532706,INOXLEISUR,311.9,-1.55,-0.15
535754,ORIENTCEM,145.4,-0.75,-0.15
505355,NESCO,634.65,-4.1,-0.15
534076,ORIENTREF,326.2,-2.15,-0.15
522249,MAYURUNIQ,491.75,-5.05,-0.15
532209,J&KBANK,38.05,-0.4,-0.15
541143,BDL,374.35,-4.05,-0.15
513377,MMTC,52.05,-0.6,-0.15
532630,GOKEX,206.75,-3.1,-0.15
539302,POWERMECH,817.85,-16.45,-0.15
532953,VGUARD,258.9,-0.6,-0.16
524000,MAGMA,155.8,-0.6,-0.16
531595,CGCL,529.9,-2.15,-0.16
522275,GET&D,138.25,-1.5,-0.16
543237,MAZDOCK,260.45,-3.2,-0.16
540595,TEJASNET,184.8,-2.35,-0.16
532180,DHANBANK,18.1,-0.45,-0.16
530011,MANGCHEFER,87.55,-3.05,-0.16
532848,DELTACORP,182.95,-0.65,-0.17
532798,NETWORK18,51.5,-0.5,-0.17
532642,JSWHL,4709.55,-25.85,-0.18
500292,HEIDELBERG,263.15,-1.55,-0.18
524226,GAEL,186.25,-1.35,-0.18
512237,JAICORPLTD,162.5,-2.3,-0.18
515055,ANANTRAJ,71.1,-1.05,-0.18
532268,ACCELYA,1431.75,-28.3,-0.18
511196,CANFINHOME,540.95,-1.2,-0.19
541557,FINEORG,2998.95,-15.2,-0.19
500288,MOREPENLAB,66.8,-0.4,-0.19
530001,GUJALKALI,458.95,-6,-0.19
509496,ITDCEM,92,-1.25,-0.19
500210,INGERRAND,966,-13.55,-0.19
502937,KESORAMIND,91.55,-1.45,-0.19
520057,JTEKTINDIA,113.7,-1.9,-0.19
533156,VASCONEQ,22.5,-1.05,-0.19
532144,WELCORP,152.85,-0.9,-0.2
540575,STARCEMENT,108.5,-0.9,-0.2
500265,MAHSEAMLES,318.5,-5.1,-0.2
517015,VINDHYATEL,1340.85,-21.95,-0.2
500187,HSIL,247.7,-4.65,-0.2
542399,CHALET,182.7,-2.15,-0.21
502090,SAGCEM,1116.15,-18.25,-0.21
500390,RELINFRA,80,-0.65,-0.22
535602,SHARDA,623.8,-16.25,-0.22
500042,BASF,2714.15,-11.75,-0.23
501425,BBTC,1300.3,-7.6,-0.23
500101,ARVIND,107.75,-0.95,-0.23
540900,NEWGEN,702,-6.3,-0.23
540678,COCHINSHIP,384.65,-3.85,-0.23
500201,INDIAGLYCO,719.85,-11.25,-0.23
533138,ASTEC,1443.3,-24.9,-0.23
505890,KENNAMET,1247.3,-25.3,-0.23
539083,INOXWIND,106,-2.5,-0.23
540124,GNA,522.75,-19.3,-0.23
513262,SSWL,1214.6,-45,-0.23
532772,DCBBANK,108.35,-0.55,-0.24
513010,TATASTLLP,1105.55,-13.1,-0.24
538268,WONDERLA,240.1,-8.65,-0.24
505790,SCHAEFFLER,5402.8,-19.6,-0.25
532313,MAHLIFE,692.15,-5.95,-0.25
532663,SASKEN,1305,-18.95,-0.25
532610,DWARKESH,75.55,-1.35,-0.25
532757,VOLTAMP,1565.45,-29.5,-0.25
523025,SAFARIND,763.85,-17.6,-0.25
540710,CAPACITE,234.75,-5.85,-0.25
533520,YAARII,105.2,-3,-0.25
540203,SFL,2368.75,-12.9,-0.26
532508,JSL,124.15,-1,-0.26
542484,ARVINDFASN,176.8,-3.15,-0.26
532899,KSCL,743.65,-6.05,-0.27
500163,GODFRYPHLP,1045.9,-11.25,-0.27
500335,BIRLACORPN,1344.15,-5.9,-0.28
532301,TATACOFFEE,190.25,-2.1,-0.28
532839,DISHTV,14.37,-0.18,-0.28
542759,SPANDANA,688.75,-9.2,-0.28
521248,KITEX,175.35,-8.3,-0.28
540293,PRICOLLTD,101.3,-2.3,-0.29
505533,WESTLIFE,532.1,-2.85,-0.3
524558,NEULANDLAB,2193.75,-21.65,-0.3
502219,BORORENEW,288.2,-3.65,-0.3
542665,NEOGEN,889.65,-21.65,-0.3
522205,PRAJIND,363.5,-1.75,-0.31
505255,GMM,4636.85,-51.65,-0.31
500052,BEPL,173.5,-2.7,-0.31
503310,SWANENERGY,141.55,-2.9,-0.31
500168,GOODYEAR,1274.6,-31.1,-0.31
543187,POWERINDIA,1916.05,-18.25,-0.32
538962,MINDACORP,142.75,-2.65,-0.32
532939,RPOWER,13.02,-0.1,-0.33
500119,DHAMPURSUG,360.95,-7.1,-0.33
543064,SUVENPHAR,463.95,-2,-0.34
534309,NBCC,52.95,-0.3,-0.34
500840,EIHOTEL,116,-1.05,-0.34
500148,UFLEX,529.8,-5.05,-0.34
520051,JAMNAAUTO,86.65,-1,-0.34
