time,open,high,low,close,Volume,Volume MA
1575948600,43522,43724,43435,43528,25052,29961.95
1576035000,43527,43977,43435,43853,26778,29008.05
1576121400,43910,44639,43722,43943,51365,29443.2
1576207800,43855,44389,43710,44151,41827,29775.3
1576467000,44186,44595,44134,44513,33214,29456
1576553400,44517,44668,44375,44535,29944,28690.6
1576639800,44351,44600,44203,44466,28326,28276.05
1576726200,44507,44850,44295,44818,35850,28455.05
1576812600,44740,45114,44604,44928,42811,28893.1
1577071800,45000,45750,45000,45692,43278,30793.65
1577158200,45775,46570,45775,46525,50817,32986.3
1577331000,46575,47250,46533,46837,68448,36075.65
1577417400,46900,47100,46517,46992,53650,38470.15
1577676600,47050,47050,46550,46875,44188,39811.1
1577763000,46944,47345,46607,46731,51449,41000.9
1577849400,46850,46850,46220,46680,10377,39582.75
1577935800,46743,47199,46618,47044,53571,39651.75
1578022200,47196,47930,47196,47540,63931,41054.2
1578281400,47549,48690,47351,47565,64861,42153.25
1578367800,47430,48188,47202,48130,68475,44410.6
1578454200,48200,48940,47101,47423,90334,47674.7
1578540600,47300,47360,46368,46592,62353,49453.45
1578627000,46589,47028,46323,46937,55506,49660.5
1578886200,46850,46850,46408,46471,41192,49628.75
1578972600,46355,46355,45835,45929,41620,50049.05
1579059000,46000,46464,45915,46404,44698,50786.75
1579145400,46250,46590,46190,46445,37574,51249.15
1579231800,46490,46995,46472,46768,39975,51455.4
1579491000,46750,46899,46619,46718,27016,50665.65
1579577400,46735,47015,45760,46167,61360,51569.75
1579663800,46075,46446,45937,46251,46449,51351.35
1579750200,46163,46500,45801,46398,51279,50492.9
1579836600,46300,47020,46108,46959,57765,50698.65
1580095800,47040,47617,46957,47025,51122,51045.35
1580182200,46852,46999,45442,45494,71794,52062.6
1580268600,45425,45745,45276,45567,40423,53564.9
1580355000,45655,46997,45655,46934,63635,54068.1
1580441400,46650,47186,46362,47010,52681,53505.6
1580700600,47000,47000,45786,45908,50480,52786.55
1580787000,46024,46346,45476,45559,54089,52067.25
1580873400,45722,46025,45369,45754,49912,50046.15
1580959800,45808,46338,45776,46238,44814,49169.2
1581046200,46200,46417,45930,46117,45914,48689.6
1581305400,46117,46350,46011,46250,31727,48216.35
1581391800,46160,46190,45625,45677,38168,48043.75
1581478200,45808,45808,45439,45519,35342,47575.95
1581564600,45630,46000,45630,45821,36976,47546.05
1581651000,45712,46297,45712,46247,30903,47092.45
1581910200,46300,46449,46071,46142,27152,47099.25
1581996600,46299,47335,46299,47273,49089,46485.7
1582083000,47350,47709,47262,47577,47405,46533.5
1582169400,47700,48085,47382,47906,57117,46825.4
1582284600,48120,48575,48120,48297,35780,45726.15
1582515000,49404,50144,49057,50023,15907,43965.4
1582601400,49709,49709,48015,48199,23456,41548.5
1582687800,48100,48100,46931,47146,22672,40660.95
1582774200,47400,47740,46584,46693,27271,38842.75
1582860600,46635,46697,44060,44468,61144,39265.9
1583119800,45000,45468,44777,45039,57174,39600.6
1583206200,45200,46840,45123,46402,64289,40110.6
1583292600,46300,46930,46270,46713,47899,40009.95
1583379000,46584,47515,46288,47410,52329,40385.7
1583465400,47270,47895,46500,46979,77550,41967.5
1583724600,47000,47110,45266,46743,87081,44735.2
1583839800,46515,47000,45884,46153,30128,44333.2
1583897400,46352,46582,45756,45850,45901,44861.15
1583983800,45700,45900,42960,44169,92421,47633.4
1584070200,43230,43577,40444,40553,95439,50860.2
1584329400,40546,41104,33300,36252,184022,58703.7
1584415800,36580,36903,34360,35449,133981,62948.3
1584502200,35989,36256,33622,33931,115868,66371.45
1584588600,34200,35432,33767,35131,68097,66920.45
1584675000,36000,37143,35456,35883,75259,68894.4
1584934200,35500,38150,35490,37938,57443,70971.2
1585020600,39101,40800,37900,40562,85320,74064.4
1585107000,40800,41978,40480,41781,64054,76133.5
1585193400,41234,41940,40600,41357,62122,77876.05
